n,engine_oil,engine_oil_filter,drain_plug_gasket,spark_plug,air_filter,radiator_coolant,brake_fluid,fuel_filter,transmission_oil_cvt,transmission_oil_filter,gasket_oil_pan,drain_plug,timing_belt_kit,fead_belt
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4,1,1,1,1,0,0,0,1,0,0,0,0,0,0
5,1,1,1,0,1,0,1,0,0,0,0,0,0,0
6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
7,1,1,1,1,1,0,0,1,1,1,0,1,0,0
8,1,1,1,0,0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,1,0,1,0,0,0,0,0,0,0
10,1,1,1,1,0,1,0,1,0,0,0,0,0,0
11,1,1,1,0,1,0,0,0,0,0,0,0,0,1
12,1,1,1,0,0,0,0,0,0,0,0,0,1,0
13,1,1,1,1,1,0,1,1,1,1,1,1,0,0
14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,0,1,0,0,0,0,0,0,0,0,0
16,1,1,1,1,0,0,0,1,0,0,0,0,0,0
